tracer,regime,n_obs,zeta_q05,zeta_q50,zeta_q95,phi_mean,phi_std,phi_q05,phi_q50,phi_q95,phi_iqr,rig_q50
momentum,unstable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
momentum,near_neutral,14681,0.0009795769997680882,0.010541268749646773,0.07134197258835123,2.7163312083658346,0.7922727518705837,1.9558505810793594,2.558191351692045,3.8728705122416387,0.7462050715047788,0.037044941811884564
momentum,weakly_stable,1581,0.10558869513999408,0.16888018398580432,0.7088824681408561,4.577571646464378,1.9603677329721714,2.8168243289007293,4.042784725438732,8.066660933970798,1.6617618331665787,0.12116128869955814
momentum,strongly_stable,538,0.11487466355962794,0.3019081763051499,2.4997516583291146,4.946037019362423,3.140249517353004,2.1592753638082147,4.17096937669432,10.153835582903346,2.3600829765277482,0.35863077575832275
heat,unstable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
heat,near_neutral,10950,0.0022950074398773307,0.017666512333128333,0.08055581972126319,21.08440456563313,20.678917745436507,2.112181201025855,13.66615120220389,69.75483079936436,19.426425732669337,0.04380305989743714
heat,weakly_stable,2098,0.10565649281943906,0.16769536548367076,0.6046375469539754,13.75681684905466,11.01716655027135,3.3117596032270757,11.45214717438906,31.720153386949423,8.91105551423758,0.12464183315050244
heat,strongly_stable,1359,0.14257604805530918,0.4614388608797972,3.460679240337953,20.866223498502762,13.904611959868303,4.801307193376703,17.87386190768924,50.10576980720877,14.594468041465536,0.3555712498598436
q1,unstable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
q1,near_neutral,7763,0.000963984981520659,0.014326697023154016,0.07796027730048796,3.176514715477707,6.6180137329492785,0.24334892080933018,1.205205546265033,12.254439672910502,2.463869707435403,0.040693282217208686
q1,weakly_stable,1156,0.10570188992524612,0.16525231622102496,0.6174307634878359,2.113343312456217,5.610897359599546,0.1690605489549002,0.7644119785270144,8.029320384478218,1.2644632881611813,0.12794190508660724
q1,strongly_stable,824,0.14250026150747455,0.4447028454261155,3.243982683698198,1.824223529033334,3.39217970894723,0.16719091990393334,0.8144589606292267,7.043284969786442,1.2536410666430169,0.35118557939604383
q2,unstable,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
q2,near_neutral,903,0.0007059044028810626,0.008539696470378829,0.06716806286265266,50.09270838006079,45.04247960779409,5.412018874949495,34.4694297517776,149.64980972214377,56.14022092790574,0.04767342597290001
q2,weakly_stable,113,0.10487801164653157,0.18354842222992537,0.6271107483268128,51.49151205042103,49.739697017310085,3.7267022690917333,32.16317973746301,160.81826378169217,60.24531588137606,0.13739605806857075
q2,strongly_stable,143,0.14367717171253983,0.4424704457729813,4.827792747607061,35.054719098277296,40.325370552518116,2.985875083801731,19.214087318646374,119.97028879110582,38.557061577285715,0.3792577330290391
