predictor,lag_30min,lag_hours,pearson_r,n
c1,-12,-6.0,-0.2918884338808273,57
c1,-11,-5.5,-0.2913378685657649,59
c1,-10,-5.0,-0.29262232000348565,59
c1,-9,-4.5,-0.2920999894013711,60
c1,-8,-4.0,-0.2838145755326153,61
c1,-7,-3.5,-0.2659474568529616,63
c1,-6,-3.0,-0.27672818947107025,64
c1,-5,-2.5,-0.3017858119565369,66
c1,-4,-2.0,-0.30699058799410606,67
c1,-3,-1.5,-0.30216182011624515,68
c1,-2,-1.0,-0.3045916523131022,70
c1,-1,-0.5,-0.3074729929540111,72
c1,0,0.0,-0.3001754633207731,74
c1,1,0.5,-0.3090716255565346,72
c1,2,1.0,-0.3189711069978991,70
c1,3,1.5,-0.3265048088473864,69
c1,4,2.0,-0.3273286830305544,67
c1,5,2.5,-0.31285248465754384,66
c1,6,3.0,-0.3187990224931446,64
c1,7,3.5,-0.32541828601516926,62
c1,8,4.0,-0.3296540327487664,61
c1,9,4.5,-0.3299114833937751,61
c1,10,5.0,-0.33267234179995636,59
c1,11,5.5,-0.3212932276382838,57
c1,12,6.0,-0.32065171351491195,55
c2,-12,-6.0,0.03414896189246148,57
c2,-11,-5.5,0.13277106278164685,59
c2,-10,-5.0,0.15373327042431217,59
c2,-9,-4.5,0.1793694595704725,60
c2,-8,-4.0,0.1916853618334871,61
c2,-7,-3.5,0.22278493269118033,63
c2,-6,-3.0,0.3262023366561225,64
c2,-5,-2.5,0.21127739029195744,66
c2,-4,-2.0,0.2625514484737713,67
c2,-3,-1.5,0.37700651305962685,68
c2,-2,-1.0,0.336056775392588,70
c2,-1,-0.5,0.43317597368781513,72
c2,0,0.0,0.4055588627695274,74
c2,1,0.5,0.3915800131556671,72
c2,2,1.0,0.383506555017374,70
c2,3,1.5,0.2770779454734998,69
c2,4,2.0,0.24665179692164954,67
c2,5,2.5,0.3901060423116325,66
c2,6,3.0,0.39181387018461483,64
c2,7,3.5,0.19699033098241914,62
c2,8,4.0,0.17918383934086105,61
c2,9,4.5,0.273865580714296,61
c2,10,5.0,0.2080039111365774,59
c2,11,5.5,0.3200597237600014,57
c2,12,6.0,0.26264949693840267,55
c3,-12,-6.0,0.24784335418965628,57
c3,-11,-5.5,0.32610328103073566,59
c3,-10,-5.0,0.2580626870480836,59
c3,-9,-4.5,0.1878164070101762,60
c3,-8,-4.0,0.28178138498890576,61
c3,-7,-3.5,0.1692152871569478,63
c3,-6,-3.0,0.12697404939446208,64
c3,-5,-2.5,0.25568930164744,66
c3,-4,-2.0,0.2130737637172903,67
c3,-3,-1.5,0.2592716039450731,68
c3,-2,-1.0,0.17833095711846175,70
c3,-1,-0.5,-0.03168998690473038,72
c3,0,0.0,0.19912114592211066,74
c3,1,0.5,0.20872858716753556,72
c3,2,1.0,0.180796770596558,70
c3,3,1.5,0.3226499551789937,69
c3,4,2.0,0.22251533990379954,67
c3,5,2.5,0.16539024981182593,66
c3,6,3.0,0.2371761688475784,64
c3,7,3.5,0.24011290064845284,62
c3,8,4.0,0.24044989047388227,61
c3,9,4.5,0.2727724503726396,61
c3,10,5.0,0.20841710067349256,59
c3,11,5.5,0.11484748988966167,57
c3,12,6.0,0.16678941879820455,55
c4,-12,-6.0,0.22391236334260067,57
c4,-11,-5.5,0.1677413557395804,59
c4,-10,-5.0,0.2067426945510582,59
c4,-9,-4.5,0.12810515778671044,60
c4,-8,-4.0,0.14598998015410744,61
c4,-7,-3.5,-0.0006873230213925868,63
c4,-6,-3.0,-0.16630010851468138,64
c4,-5,-2.5,-0.02400317524133027,66
c4,-4,-2.0,0.1405352238438137,67
c4,-3,-1.5,0.11673175614334698,68
c4,-2,-1.0,0.21256603158943926,70
c4,-1,-0.5,0.06604710298537599,72
c4,0,0.0,0.11969991395828201,74
c4,1,0.5,0.26574750906369216,72
c4,2,1.0,0.2505452044184948,70
c4,3,1.5,0.3852664566630063,69
c4,4,2.0,0.349966790752542,67
c4,5,2.5,0.24082618268831174,66
c4,6,3.0,0.23131765081924072,64
c4,7,3.5,0.2889387063653638,62
c4,8,4.0,0.29222041060375314,61
c4,9,4.5,0.41360108121241845,61
c4,10,5.0,0.3821614447745197,59
c4,11,5.5,0.23263387607309854,57
c4,12,6.0,0.23895536723288544,55
shape_ratio,-12,-6.0,0.2987630009193186,57
shape_ratio,-11,-5.5,0.0398441852706144,59
shape_ratio,-10,-5.0,-0.035494207277268465,59
shape_ratio,-9,-4.5,0.002266488483623513,60
shape_ratio,-8,-4.0,0.01277930969240334,61
shape_ratio,-7,-3.5,-0.0092491634746612,63
shape_ratio,-6,-3.0,-0.03531164399058069,64
shape_ratio,-5,-2.5,-0.039811213830697446,66
shape_ratio,-4,-2.0,-0.003087573587274947,67
shape_ratio,-3,-1.5,-0.006501185872568157,68
shape_ratio,-2,-1.0,-0.03790772935763711,70
shape_ratio,-1,-0.5,-0.1400091381881333,72
shape_ratio,0,0.0,-0.02641179132594564,74
shape_ratio,1,0.5,-0.051912000161578764,72
shape_ratio,2,1.0,-0.03259769146488515,70
shape_ratio,3,1.5,0.18520405141418997,69
shape_ratio,4,2.0,0.1630427990259998,67
shape_ratio,5,2.5,-0.05222773853624358,66
shape_ratio,6,3.0,-0.07622851911253811,64
shape_ratio,7,3.5,-0.059326190918040665,62
shape_ratio,8,4.0,0.056350958116407036,61
shape_ratio,9,4.5,-0.01605334977039152,61
shape_ratio,10,5.0,0.10387874540860513,59
shape_ratio,11,5.5,-0.018748515836011056,57
shape_ratio,12,6.0,0.018966537208932675,55
