HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
0.82496,,,,-0.32367,330.67429,-0.457,,-0.76333,,,,,0.07774,,-0.786,0.53766,,,,,,,,0.35057,0.09611,217.2172,-0.61033,2020-12-01T00:00:00.0,,,,,,0.09611,217.2172,,,,,,,0.07774,0.82496,0.53766,-0.32367,-0.457,-0.457,-0.61033,-0.76333
0.15681,,,,-0.29467,1628.99805,-0.43267,,-0.751,,,,,0.1348,,-0.779,-0.10517,,,,,,,,0.47106,0.10426,,-0.579,2020-12-01T00:30:00.0,,,,,,0.10426,1628.99805,,,,,,,0.1348,0.15681,-0.10517,-0.29467,-0.43267,-0.43267,-0.579,-0.751
-0.15742,,,,-0.285,350.66129,-0.43267,,-0.748,,,,,0.21707,,-0.75733,-0.12692,,,,,,,,0.34343,0.06472,23.06186,-0.58,2020-12-01T01:00:00.0,,,,,,0.06472,23.06186,,,,,,,0.21707,-0.15742,-0.12692,-0.285,-0.43267,-0.43267,-0.58,-0.748
0.38709,,,,-0.288,261.80319,-0.41733,,-0.74933,,,,,0.03853,,-0.78467,-0.07092,,,,,,,,0.33553,,,-0.558,2020-12-01T01:30:00.0,,,,,,0.33553,261.80319,,,,,,,0.03853,0.38709,-0.07092,-0.288,-0.41733,-0.41733,-0.558,-0.74933
-0.42051,,,,-0.298,368.46219,-0.41667,,-0.75967,,,,,-0.1909,,-0.83767,-1.07471,,,,,,,,0.34844,0.09543,46.558,-0.54433,2020-12-01T02:00:00.0,,,,,,0.09543,46.558,,,,,,,-0.1909,-0.42051,-1.07471,-0.298,-0.41667,-0.41667,-0.54433,-0.75967
0.43514,,,,-0.282,281.8985,-0.403,,-0.749,,,,,-0.16537,,-0.83267,-1.20902,,,,,,,,0.37283,0.11891,126.6273,-0.53067,2020-12-01T02:30:00.0,,,,,,0.11891,126.6273,,,,,,,-0.16537,0.43514,-1.20902,-0.282,-0.403,-0.403,-0.53067,-0.749
-0.79971,,,,-0.29833,466.7276,-0.43567,,-0.75833,,,,,0.08427,,-0.83033,-0.38048,,,,,,,,0.45927,0.1211,69.71358,-0.56567,2020-12-01T03:00:00.0,,,,,,0.1211,69.71358,,,,,,,0.08427,-0.79971,-0.38048,-0.29833,-0.43567,-0.43567,-0.56567,-0.75833
0.55831,,,,-0.30967,490.27969,-0.44533,,-0.75267,,,,,-0.05871,,-0.80833,0.67885,,,,,,,,0.40168,0.09708,67.66854,-0.58667,2020-12-01T03:30:00.0,,,,,,0.09708,67.66854,,,,,,,-0.05871,0.55831,0.67885,-0.30967,-0.44533,-0.44533,-0.58667,-0.75267
0.00882,,,,-0.278,,-0.42733,,-0.72967,,,,,-0.07487,,-0.768,0.74976,,,,,,,,0.42347,0.09877,75.3339,-0.56667,2020-12-01T04:00:00.0,,,,,,0.09877,75.3339,,,,,,,-0.07487,0.00882,0.74976,-0.278,-0.42733,-0.42733,-0.56667,-0.72967
-0.13122,,,,-0.28033,,-0.42467,,-0.721,,,,,0.22768,,-0.74833,0.09042,,,,,,,,0.42178,0.14418,206.8745,-0.57067,2020-12-01T04:30:00.0,,,,,,0.14418,206.8745,,,,,,,0.22768,-0.13122,0.09042,-0.28033,-0.42467,-0.42467,-0.57067,-0.721
