HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
1.51719,,,,,,-9.72567,,-10.01667,,,,,0.01857,,-9.99833,0.42856,,,,,,,,,0.11725,-142.6448,-9.80633,2021-12-01T00:00:00.0,,,,,,0.11725,-142.6448,,,,,,,0.01857,1.51719,0.42856,-9.72567,-9.72567,-9.80633,-10.01667
4.3912,,,,,,-9.54333,,-9.82733,,,,,0.05571,,-9.80467,1.80457,,,,,,,,,0.10163,-44.8533,-9.61733,2021-12-01T00:30:00.0,,,,,,0.10163,-44.8533,,,,,,,0.05571,4.3912,1.80457,-9.54333,-9.54333,-9.61733,-9.82733
2.95638,,,,,,-9.339,,-9.62367,,,,,-0.1055,,-9.592,1.12047,,,,,,,,,0.11928,-191.3937,-9.41333,2021-12-01T01:00:00.0,,,,,,0.11928,-191.3937,,,,,,,-0.1055,2.95638,1.12047,-9.339,-9.339,-9.41333,-9.62367
5.21566,,,,,,-9.15333,,-9.43633,,,,,-0.17202,,-9.395,1.42308,,,,,,,,,0.14372,303.847,-9.22833,2021-12-01T01:30:00.0,,,,,,0.14372,303.847,,,,,,,-0.17202,5.21566,1.42308,-9.15333,-9.15333,-9.22833,-9.43633
4.8312,,,,,,-8.91467,,-9.18333,,,,,-0.25908,,-9.15267,1.56723,,,,,,,,,0.20734,291.4335,-8.979,2021-12-01T02:00:00.0,,,,,,0.20734,291.4335,,,,,,,-0.25908,4.8312,1.56723,-8.91467,-8.91467,-8.979,-9.18333
5.06484,,,,,-5172.33398,-8.66667,,-8.904,,,,,-0.27718,,-8.88467,1.93393,,,,,,,,1.18378,0.16899,113.6802,-8.73933,2021-12-01T02:30:00.0,,,,,,0.16899,113.6802,,,,,,,-0.27718,5.06484,1.93393,-8.66667,-8.66667,-8.73933,-8.904
5.33111,,,,,-5680.64307,-8.37033,,-8.62133,,,,,-0.04939,,-8.61833,2.30521,,,,,,,,1.20045,0.19668,-394.2354,-8.45133,2021-12-01T03:00:00.0,,,,,,0.19668,-394.2354,,,,,,,-0.04939,5.33111,2.30521,-8.37033,-8.37033,-8.45133,-8.62133
6.19592,,,,,-3546.03809,-8.106,,-8.33767,,,,,-0.0926,,-8.34333,1.99988,,,,,,,,1.1424,0.12875,52.8411,-8.20067,2021-12-01T03:30:00.0,,,,,,0.12875,52.8411,,,,,,,-0.0926,6.19592,1.99988,-8.106,-8.106,-8.20067,-8.33767
4.39348,,,,,-16659.94922,-7.838,,-8.04367,,,,,0.00531,,-8.05567,1.66416,,,,,,,,0.98399,0.25489,705.4351,-7.94333,2021-12-01T04:00:00.0,,,,,,0.25489,705.4351,,,,,,,0.00531,4.39348,1.66416,-7.838,-7.838,-7.94333,-8.04367
5.32864,,,,,40608.80078,-7.6,,-7.77833,,,,,-0.04265,,-7.747,1.75557,,,,,,,,0.9733,0.16851,97.62773,-7.71,2021-12-01T04:30:00.0,,,,,,0.16851,97.62773,,,,,,,-0.04265,5.32864,1.75557,-7.6,-7.6,-7.71,-7.77833
