HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
-2.95247,,,,2.402,1322.93005,2.36367,,2.11067,,,,,-0.15931,,2.14867,-2.38577,,,,,,,2.342,1.03631,2.07567,2023-01-01T00:00:00.0,,,,,,1.03631,1322.93005,,,,,,,-0.15931,-2.95247,-2.38577,2.402,2.342,2.36367,2.07567,2.11067
-5.44339,,,,2.25467,1707.72705,2.18067,,1.929,,,,,-0.02195,,1.973,-7.00165,,,,,,,2.17867,1.13031,1.894,2023-01-01T00:30:00.0,,,,,,1.13031,1707.72705,,,,,,,-0.02195,-5.44339,-7.00165,2.25467,2.17867,2.18067,1.894,1.929
-8.37117,,,,1.797,2248.16504,1.72,,1.44833,,,,,0.23333,,1.50033,-5.17766,,,,,,,1.72067,1.12673,1.426,2023-01-01T01:00:00.0,,,,,,1.12673,2248.16504,,,,,,,0.23333,-8.37117,-5.17766,1.797,1.72067,1.72,1.426,1.44833
-7.14054,,,,1.45,1645.06702,1.342,,1.041,,,,,0.1886,,1.08767,-4.30788,,,,,,,1.34733,1.08373,1.027,2023-01-01T01:30:00.0,,,,,,1.08373,1645.06702,,,,,,,0.1886,-7.14054,-4.30788,1.45,1.34733,1.342,1.027,1.041
-3.47025,,,,1.114,1562.38,0.99967,,0.70567,,,,,0.04487,,0.72167,-3.31022,,,,,,,1.01333,0.99728,0.697,2023-01-01T02:00:00.0,,,,,,0.99728,1562.38,,,,,,,0.04487,-3.47025,-3.31022,1.114,1.01333,0.99967,0.697,0.70567
-1.35038,,,,1.02933,801.47968,0.91333,,0.65167,,,,,-0.02142,,0.68133,-2.91144,,,,,,,0.91633,0.78901,0.64467,2023-01-01T02:30:00.0,,,,,,0.78901,801.47968,,,,,,,-0.02142,-1.35038,-2.91144,1.02933,0.91633,0.91333,0.64467,0.65167
-5.40913,,,,0.84733,674.91888,0.72733,,0.526,,,,,-0.00701,,0.57833,-5.65994,,,,,,,0.735,0.75123,0.50067,2023-01-01T03:00:00.0,,,,,,0.75123,674.91888,,,,,,,-0.00701,-5.40913,-5.65994,0.84733,0.735,0.72733,0.50067,0.526
-4.90385,,,,0.533,550.07721,0.40067,,0.22467,,,,,0.00975,,0.33467,-3.43657,,,,,,,0.415,0.76076,0.222,2023-01-01T03:30:00.0,,,,,,0.76076,550.07721,,,,,,,0.00975,-4.90385,-3.43657,0.533,0.415,0.40067,0.222,0.22467
-4.89632,,,,0.24833,647.69067,0.134,,-0.04667,,,,,0.01097,,0.06033,-3.33019,,,,,,,0.14133,0.78589,-0.05933,2023-01-01T04:00:00.0,,,,,,0.78589,647.69067,,,,,,,0.01097,-4.89632,-3.33019,0.24833,0.14133,0.134,-0.05933,-0.04667
-5.08953,,,,-0.044,512.2536,-0.14367,,-0.318,,,,,-0.01328,,-0.22467,-3.40706,,,,,,,-0.153,0.6872,-0.31967,2023-01-01T04:30:00.0,,,,,,0.6872,512.2536,,,,,,,-0.01328,-5.08953,-3.40706,-0.044,-0.153,-0.14367,-0.31967,-0.318
-4.05282,,,,-0.25667,594.54559,-0.352,,-0.509,,,,,-0.01973,,-0.41367,-3.51295,,,,,,,-0.36167,0.69979,-0.522,2023-01-01T05:00:00.0,,,,,,0.69979,594.54559,,,,,,,-0.01973,-4.05282,-3.51295,-0.25667,-0.36167,-0.352,-0.522,-0.509
