HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.Qc_F_c,HYY_EDDY233.F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.tau,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_META.T42,HYY_EDDY233.u_star,HYY_META.T84,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.E,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
,-1.1172,19.44358,,-15.433,3.28259,,,,,,,,,,,-17.22133,,-16.214,,,-16.565,2024-01-01T00:00:00.0,,,,,,,,,,,,,,-1.1172,19.44358,3.28259,-17.22133,-17.22133,-16.565,-16.214
,,4.92891,,-15.137,,,,,,,,,,,,-16.776,,-15.963,,,-16.325,2024-01-01T00:30:00.0,,,,,,,,,,,,,,,4.92891,,-16.776,-16.776,-16.325,-15.963
,,1.17818,,-15.234,,,,,,,,,,,,-16.62167,,-15.95,,,-16.237,2024-01-01T01:00:00.0,,,,,,,,,,,,,,,1.17818,,-16.62167,-16.62167,-16.237,-15.95
,,1.15227,,-15.2,,,,,,,,,,,,-16.81034,,-15.95034,,,-16.37517,2024-01-01T01:30:00.0,,,,,,,,,,,,,,,1.15227,,-16.81034,-16.81034,-16.37517,-15.95034
,-0.13921,-5.5047,,-15.29067,-0.64107,,,,,,,,,,,-16.82567,,-15.99833,,,-16.40133,2024-01-01T02:00:00.0,,,,,,,,,,,,,,-0.13921,-5.5047,-0.64107,-16.82567,-16.82567,-16.40133,-15.99833
,-0.07007,-4.43058,,-15.585,-1.0393,,,,,,,,,,,-17.11733,,-16.314,,,-16.69433,2024-01-01T02:30:00.0,,,,,,,,,,,,,,-0.07007,-4.43058,-1.0393,-17.11733,-17.11733,-16.69433,-16.314
,-0.37969,-0.50438,,-15.70897,-0.20608,,,,,,,,,,,-17.27724,,-16.56379,,,-16.91069,2024-01-01T03:00:00.0,,,,,,,,,,,,,,-0.37969,-0.50438,-0.20608,-17.27724,-17.27724,-16.91069,-16.56379
,-0.32264,-1.12409,,-15.553,-0.09434,,,,,,,,,,,-17.27533,,-16.59033,,,-16.92133,2024-01-01T03:30:00.0,,,,,,,,,,,,,,-0.32264,-1.12409,-0.09434,-17.27533,-17.27533,-16.92133,-16.59033
,-0.38443,-1.05749,,-16.261,-0.21854,,,,,,,,,,,-17.36467,,-16.95367,,,-17.07133,2024-01-01T04:00:00.0,,,,,,,,,,,,,,-0.38443,-1.05749,-0.21854,-17.36467,-17.36467,-17.07133,-16.95367
,-0.04444,-9.08229,,-16.888,-1.8031,,,,,,,,,,,-17.671,,-17.355,,,-17.38133,2024-01-01T04:30:00.0,,,,,,,,,,,,,,-0.04444,-9.08229,-1.8031,-17.671,-17.671,-17.38133,-17.355
,-0.22312,-2.1077,,-16.942,-0.39187,,,,,,,,,,,-17.857,,-17.466,,,-17.54433,2024-01-01T05:00:00.0,,,,,,,,,,,,,,-0.22312,-2.1077,-0.39187,-17.857,-17.857,-17.54433,-17.466
,-0.25532,-1.27532,,-17.27793,-0.24056,,,,,,,,,,,-18.0031,,-17.75586,,,-17.76379,2024-01-01T05:30:00.0,,,,,,,,,,,,,,-0.25532,-1.27532,-0.24056,-18.0031,-18.0031,-17.76379,-17.75586
,-0.35953,0.4283,,-17.44138,-0.18007,,,,,,,,,,,-18.01483,,-17.81207,,,-17.79276,2024-01-01T06:00:00.0,,,,,,,,,,,,,,-0.35953,0.4283,-0.18007,-18.01483,-18.01483,-17.79276,-17.81207
,-0.38491,-1.06477,,-17.48333,-0.07422,,,,,,,,,,,-18.06667,,-17.88667,,,-17.86833,2024-01-01T06:30:00.0,,,,,,,,,,,,,,-0.38491,-1.06477,-0.07422,-18.06667,-18.06667,-17.86833,-17.88667
,0.10282,-6.6372,,-17.68,-1.00493,,,,,,,,,,,-18.166,,-18.06667,,,-18.02167,2024-01-01T07:00:00.0,,,,,,,,,,,,,,0.10282,-6.6372,-1.00493,-18.166,-18.166,-18.02167,-18.06667
,-0.21034,-1.53831,,-17.91833,-0.21637,,,,,,,,,,,-18.42633,,-18.319,,,-18.26367,2024-01-01T07:30:00.0,,,,,,,,,,,,,,-0.21034,-1.53831,-0.21637,-18.42633,-18.42633,-18.26367,-18.319
,-0.22776,-0.56917,,-17.89345,0.09849,,,,,,,,,,,-18.40552,,-18.29241,,,-18.25172,2024-01-01T08:00:00.0,,,,,,,,,,,,,,-0.22776,-0.56917,0.09849,-18.40552,-18.40552,-18.25172,-18.29241
,0.16467,-11.36015,,-18.45267,-2.04294,,,,,,,,,,,-18.78967,,-18.756,,,-18.685,2024-01-01T08:30:00.0,,,,,,,,,,,,,,0.16467,-11.36015,-2.04294,-18.78967,-18.78967,-18.685,-18.756
,-0.01415,-7.86775,,-18.90933,-1.33888,,,,,,,,,,,-19.228,,-19.20467,,,-19.12,2024-01-01T09:00:00.0,,,,,,,,,,,,,,-0.01415,-7.86775,-1.33888,-19.228,-19.228,-19.12,-19.20467
,-0.37902,1.76964,,-18.85633,0.64078,,,,,,,,,,,-19.38667,,-19.23533,,,-19.21333,2024-01-01T09:30:00.0,,,,,,,,,,,,,,-0.37902,1.76964,0.64078,-19.38667,-19.38667,-19.21333,-19.23533
,-0.24567,0.61984,,-18.83517,0.38203,,,,,,,,,,,-19.30793,,-19.14172,,,-19.10379,2024-01-01T10:00:00.0,,,,,,,,,,,,,,-0.24567,0.61984,0.38203,-19.30793,-19.30793,-19.10379,-19.14172
,-0.28201,0.67424,,-18.92069,0.39316,,,,,,,,,,,-19.29069,,-19.20172,,,-19.13172,2024-01-01T10:30:00.0,,,,,,,,,,,,,,-0.28201,0.67424,0.39316,-19.29069,-19.29069,-19.13172,-19.20172
,0.11178,-5.23579,,-19.185,-0.72251,,,,,,,,,,,-19.36067,,-19.39067,,,-19.25133,2024-01-01T11:00:00.0,,,,,,,,,,,,,,0.11178,-5.23579,-0.72251,-19.36067,-19.36067,-19.25133,-19.39067
,0.0652,-3.55766,,-19.487,-0.81234,,,,,,,,,,,-19.615,,-19.68133,,,-19.49767,2024-01-01T11:30:00.0,,,,,,,,,,,,,,0.0652,-3.55766,-0.81234,-19.615,-19.615,-19.49767,-19.68133
,-0.14254,0.16679,,-19.56367,0.12174,,,,,,,,,,,-19.66233,,-19.77333,,,-19.542,2024-01-01T12:00:00.0,,,,,,,,,,,,,,-0.14254,0.16679,0.12174,-19.66233,-19.66233,-19.542,-19.77333
,-0.14646,-0.86946,,-19.596,0.35065,,,,,,,,,,,-19.66967,,-19.81933,,,-19.548,2024-01-01T12:30:00.0,,,,,,,,,,,,,,-0.14646,-0.86946,0.35065,-19.66967,-19.66967,-19.548,-19.81933
,-0.13135,-1.93066,,-19.676,-0.14851,,,,,,,,,,,-19.75767,,-19.876,,,-19.603,2024-01-01T13:00:00.0,,,,,,,,,,,,,,-0.13135,-1.93066,-0.14851,-19.75767,-19.75767,-19.603,-19.876
