HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux
-1.97207,,,,,8.20038,,,,,,,,-2.50732,,,-0.60517,,,,,,,,0.08245,,2024-11-01T00:00:00.0,,,,,,0.08245,8.20038,,,,,,,-2.50732,-1.97207,-0.60517
3.32244,,,,,40.91278,,,,,,,,,,,,,,,,,,,0.18557,,2024-11-01T00:30:00.0,,,,,,0.18557,40.91278,,,,,,,,3.32244,
-4.01341,,,,,46.53147,,,,,,,,,,,,,,,,,,,0.19693,,2024-11-01T01:00:00.0,,,,,,0.19693,46.53147,,,,,,,,-4.01341,
-1.22671,,,,,39.59599,,,,,,,,,,,,,,,,,,,0.1925,,2024-11-01T01:30:00.0,,,,,,0.1925,39.59599,,,,,,,,-1.22671,
-4.81058,,,,,112.616,,,,,,,,2.66682,,,-1.61678,,,,,,,,0.21847,,2024-11-01T02:00:00.0,,,,,,0.21847,112.616,,,,,,,2.66682,-4.81058,-1.61678
-1.09891,,,,,123.4884,,,,,,,,1.08795,,,0.11675,,,,,,,,0.25909,,2024-11-01T02:30:00.0,,,,,,0.25909,123.4884,,,,,,,1.08795,-1.09891,0.11675
1.36796,,,,,119.6435,,,,,,,,-1.74733,,,1.43562,,,,,,,,0.29045,,2024-11-01T03:00:00.0,,,,,,0.29045,119.6435,,,,,,,-1.74733,1.36796,1.43562
-2.89794,,,,,225.2664,,,,,,,,1.03481,,,-3.07352,,,,,,,,0.2769,,2024-11-01T03:30:00.0,,,,,,0.2769,225.2664,,,,,,,1.03481,-2.89794,-3.07352
-1.50577,,,,,198.0657,,,,,,,,0.27317,,,-3.64149,,,,,,,,0.28083,,2024-11-01T04:00:00.0,,,,,,0.28083,198.0657,,,,,,,0.27317,-1.50577,-3.64149
0.78071,,,,,230.4342,,,,,,,,-0.56854,,,-3.51986,,,,,,,,0.33779,,2024-11-01T04:30:00.0,,,,,,0.33779,230.4342,,,,,,,-0.56854,0.78071,-3.51986
