VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0,VAR_EDDY.MO_length,VAR_EDDY.u_star,VAR_META.TDRY4,datetime,season_year,season_date,target_doy,temp_source
-15.61,-15.62,-15.67,-15.5583,-219.5621,0.22406,-15.58,2024-01-15T00:00:00.0,2024,2024-01-15,15,metadata_tdry
-15.6,-15.61,-15.66,-15.5385,,,-15.57,2024-01-15T00:01:00.0,2024,2024-01-15,15,metadata_tdry
-15.6,-15.6,-15.65,-15.5286,,,-15.56,2024-01-15T00:02:00.0,2024,2024-01-15,15,metadata_tdry
-15.59,-15.59,-15.64,-15.5187,,,-15.54,2024-01-15T00:03:00.0,2024,2024-01-15,15,metadata_tdry
-15.57,-15.57,-15.61,-15.489,,,-15.53,2024-01-15T00:04:00.0,2024,2024-01-15,15,metadata_tdry
-15.54,-15.54,-15.59,-15.489,,,-15.49,2024-01-15T00:05:00.0,2024,2024-01-15,15,metadata_tdry
-15.53,-15.54,-15.6,-15.489,,,-15.48,2024-01-15T00:06:00.0,2024,2024-01-15,15,metadata_tdry
-15.53,-15.54,-15.57,-15.4692,,,-15.49,2024-01-15T00:07:00.0,2024,2024-01-15,15,metadata_tdry
-15.51,-15.5,-15.52,-15.4395,,,-15.46,2024-01-15T00:08:00.0,2024,2024-01-15,15,metadata_tdry
-15.47,-15.46,-15.51,-15.4098,,,-15.42,2024-01-15T00:09:00.0,2024,2024-01-15,15,metadata_tdry
-15.42,-15.43,-15.48,-15.3999,,,-15.39,2024-01-15T00:10:00.0,2024,2024-01-15,15,metadata_tdry
-15.43,-15.44,-15.5,-15.3999,,,-15.38,2024-01-15T00:11:00.0,2024,2024-01-15,15,metadata_tdry
-15.43,-15.46,-15.53,-15.4098,,,-15.38,2024-01-15T00:12:00.0,2024,2024-01-15,15,metadata_tdry
-15.44,-15.45,-15.52,-15.4098,,,-15.39,2024-01-15T00:13:00.0,2024,2024-01-15,15,metadata_tdry
-15.43,-15.46,-15.53,-15.4197,,,-15.39,2024-01-15T00:14:00.0,2024,2024-01-15,15,metadata_tdry
-15.44,-15.45,-15.53,-15.3999,,,-15.38,2024-01-15T00:15:00.0,2024,2024-01-15,15,metadata_tdry
-15.43,-15.44,-15.5,-15.3999,,,-15.38,2024-01-15T00:16:00.0,2024,2024-01-15,15,metadata_tdry
-15.43,-15.45,-15.53,-15.4098,,,-15.38,2024-01-15T00:17:00.0,2024,2024-01-15,15,metadata_tdry
-15.44,-15.46,-15.54,-15.4197,,,-15.38,2024-01-15T00:18:00.0,2024,2024-01-15,15,metadata_tdry
-15.44,-15.46,-15.55,-15.4197,,,-15.4,2024-01-15T00:19:00.0,2024,2024-01-15,15,metadata_tdry
-15.45,-15.48,-15.55,-15.4197,,,-15.4,2024-01-15T00:20:00.0,2024,2024-01-15,15,metadata_tdry
