group_name,season_year,season_date,target_doy,start_dt,end_dt,status,rows,message
co2_tracers,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,1440,
co2_tracers,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,1440,
heat_flux,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,48,
heat_flux,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,48,
humidity_profile,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,1440,
humidity_profile,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,1440,
momentum_flux,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,48,
momentum_flux,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,48,
other_tracers,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,48,
other_tracers,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,48,
temperature_profile,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,1440,
temperature_profile,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,1440,
wind_profile,2024,2024-01-15,15,2024-01-15T00:00:00,2024-01-16T00:00:00,ok,1440,
wind_profile,2025,2025-01-15,15,2025-01-15T00:00:00,2025-01-16T00:00:00,ok,1440,
