VAR_META.WS1,VAR_META.WS2,VAR_META.WS3,VAR_META.WS4,VAR_META.WS0,VAR_META.WDIR,datetime,season_year,season_date,target_doy,group_name
,,,,,90.68,2024-01-15T00:00:00.0,2024,2024-01-15,15,wind_profile
,,,,,94.64,2024-01-15T00:01:00.0,2024,2024-01-15,15,wind_profile
,,,,,57.96,2024-01-15T00:02:00.0,2024,2024-01-15,15,wind_profile
,,,,,89.66,2024-01-15T00:03:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.6,2024-01-15T00:04:00.0,2024,2024-01-15,15,wind_profile
,,,,,83.67,2024-01-15T00:05:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.78,2024-01-15T00:06:00.0,2024,2024-01-15,15,wind_profile
,,,,,85.7,2024-01-15T00:07:00.0,2024,2024-01-15,15,wind_profile
,,,,,85.7,2024-01-15T00:08:00.0,2024,2024-01-15,15,wind_profile
,,,,,86.62,2024-01-15T00:09:00.0,2024,2024-01-15,15,wind_profile
,,,,,92.71,2024-01-15T00:10:00.0,2024,2024-01-15,15,wind_profile
,,,,,87.64,2024-01-15T00:11:00.0,2024,2024-01-15,15,wind_profile
,,,,,100.6,2024-01-15T00:12:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.6,2024-01-15T00:13:00.0,2024,2024-01-15,15,wind_profile
,,,,,59.9,2024-01-15T00:14:00.0,2024,2024-01-15,15,wind_profile
,,,,,84.69,2024-01-15T00:15:00.0,2024,2024-01-15,15,wind_profile
,,,,,83.67,2024-01-15T00:16:00.0,2024,2024-01-15,15,wind_profile
,,,,,88.37,2024-01-15T00:17:00.0,2024,2024-01-15,15,wind_profile
,,,,,88.93,2024-01-15T00:18:00.0,2024,2024-01-15,15,wind_profile
,,,,,89.57,2024-01-15T00:19:00.0,2024,2024-01-15,15,wind_profile
,,,,,75.66,2024-01-15T00:20:00.0,2024,2024-01-15,15,wind_profile
,,,,,83.67,2024-01-15T00:21:00.0,2024,2024-01-15,15,wind_profile
,,,,,83.67,2024-01-15T00:22:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.6,2024-01-15T00:23:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.73,2024-01-15T00:24:00.0,2024,2024-01-15,15,wind_profile
,,,,,78.7,2024-01-15T00:25:00.0,2024,2024-01-15,15,wind_profile
,,,,,86.62,2024-01-15T00:26:00.0,2024,2024-01-15,15,wind_profile
,,,,,100.6,2024-01-15T00:27:00.0,2024,2024-01-15,15,wind_profile
,,,,,69.85,2024-01-15T00:28:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.63,2024-01-15T00:29:00.0,2024,2024-01-15,15,wind_profile
,,,,,98.42,2024-01-15T00:30:00.0,2024,2024-01-15,15,wind_profile
,,,,,71.79,2024-01-15T00:31:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.6,2024-01-15T00:32:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.63,2024-01-15T00:33:00.0,2024,2024-01-15,15,wind_profile
,,,,,84.69,2024-01-15T00:34:00.0,2024,2024-01-15,15,wind_profile
,,,,,68.84,2024-01-15T00:35:00.0,2024,2024-01-15,15,wind_profile
,,,,,92.71,2024-01-15T00:36:00.0,2024,2024-01-15,15,wind_profile
,,,,,44.98,2024-01-15T00:37:00.0,2024,2024-01-15,15,wind_profile
,,,,,38.12,2024-01-15T00:38:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.73,2024-01-15T00:39:00.0,2024,2024-01-15,15,wind_profile
,,,,,81.65,2024-01-15T00:40:00.0,2024,2024-01-15,15,wind_profile
,,,,,96.58,2024-01-15T00:41:00.0,2024,2024-01-15,15,wind_profile
,,,,,111.1,2024-01-15T00:42:00.0,2024,2024-01-15,15,wind_profile
,,,,,75.66,2024-01-15T00:43:00.0,2024,2024-01-15,15,wind_profile
,,,,,53.91,2024-01-15T00:44:00.0,2024,2024-01-15,15,wind_profile
,,,,,28.15,2024-01-15T00:45:00.0,2024,2024-01-15,15,wind_profile
,,,,,82.66,2024-01-15T00:46:00.0,2024,2024-01-15,15,wind_profile
,,,,,86.62,2024-01-15T00:47:00.0,2024,2024-01-15,15,wind_profile
,,,,,73.72,2024-01-15T00:48:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.73,2024-01-15T00:49:00.0,2024,2024-01-15,15,wind_profile
,,,,,78.7,2024-01-15T00:50:00.0,2024,2024-01-15,15,wind_profile
,,,,,72.8,2024-01-15T00:51:00.0,2024,2024-01-15,15,wind_profile
,,,,,63.95,2024-01-15T00:52:00.0,2024,2024-01-15,15,wind_profile
,,,,,80.63,2024-01-15T00:53:00.0,2024,2024-01-15,15,wind_profile
,,,,,72.8,2024-01-15T00:54:00.0,2024,2024-01-15,15,wind_profile
,,,,,38.13,2024-01-15T00:55:00.0,2024,2024-01-15,15,wind_profile
,,,,,78.7,2024-01-15T00:56:00.0,2024,2024-01-15,15,wind_profile
