season_year,season_date,target_doy,temp_source,status,rows,message
2012,2012-01-15,15,metadata_tdry,ok,1440,
2013,2013-01-15,15,metadata_tdry,ok,1440,
2014,2014-01-15,15,metadata_tdry,ok,1440,
2015,2015-01-15,15,metadata_tdry,ok,1440,
2016,2016-01-15,15,metadata_tdry,ok,1440,
2017,2017-01-15,15,metadata_tdry,ok,1440,
2018,2018-01-15,15,metadata_tdry,ok,1440,
2019,2019-01-15,15,metadata_tdry,ok,1440,
2020,2020-01-15,15,metadata_tdry,ok,1440,
2021,2021-01-15,15,metadata_tdry,ok,1440,
2022,2022-01-15,15,metadata_tdry,ok,1440,
2023,2023-01-15,15,metadata_tdry,ok,1440,
2024,2024-01-15,15,metadata_tdry,ok,1440,
2025,2025-01-15,15,metadata_tdry,ok,1440,
