VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0,VAR_META.TDRY4,datetime,season_year,season_date,target_doy,group_name
-8.72,-8.71,-8.74,-8.72,-8.7,2012-01-15T00:00:00.0,2012,2012-01-15,15,temperature_profile
-8.72,-8.69,-8.73,-8.72,-8.71,2012-01-15T00:01:00.0,2012,2012-01-15,15,temperature_profile
-8.73,-8.7,-8.73,-8.7,-8.7,2012-01-15T00:02:00.0,2012,2012-01-15,15,temperature_profile
-8.73,-8.71,-8.74,-8.7,-8.69,2012-01-15T00:03:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.75,-8.78,-8.76,-8.74,2012-01-15T00:04:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.74,-8.76,-8.72,-8.71,2012-01-15T00:05:00.0,2012,2012-01-15,15,temperature_profile
-8.75,-8.74,-8.77,-8.72,-8.7,2012-01-15T00:06:00.0,2012,2012-01-15,15,temperature_profile
-8.75,-8.73,-8.76,-8.76,-8.71,2012-01-15T00:07:00.0,2012,2012-01-15,15,temperature_profile
-8.75,-8.73,-8.75,-8.74,-8.7,2012-01-15T00:08:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.74,-8.77,-8.76,-8.72,2012-01-15T00:09:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.73,-8.77,-8.76,-8.69,2012-01-15T00:10:00.0,2012,2012-01-15,15,temperature_profile
-8.75,-8.73,-8.78,-8.78,-8.68,2012-01-15T00:11:00.0,2012,2012-01-15,15,temperature_profile
-8.75,-8.74,-8.78,-8.78,-8.7,2012-01-15T00:12:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.75,-8.79,-8.79,-8.71,2012-01-15T00:13:00.0,2012,2012-01-15,15,temperature_profile
-8.76,-8.74,-8.77,-8.77,-8.71,2012-01-15T00:14:00.0,2012,2012-01-15,15,temperature_profile
-8.73,-8.7,-8.71,-8.69,-8.64,2012-01-15T00:15:00.0,2012,2012-01-15,15,temperature_profile
-8.68,-8.65,-8.68,-8.66,-8.61,2012-01-15T00:16:00.0,2012,2012-01-15,15,temperature_profile
-8.68,-8.64,-8.67,-8.62,-8.64,2012-01-15T00:17:00.0,2012,2012-01-15,15,temperature_profile
-8.64,-8.6,-8.62,-8.58,-8.6,2012-01-15T00:18:00.0,2012,2012-01-15,15,temperature_profile
-8.64,-8.6,-8.62,-8.6,-8.61,2012-01-15T00:19:00.0,2012,2012-01-15,15,temperature_profile
-8.64,-8.6,-8.65,-8.64,-8.58,2012-01-15T00:20:00.0,2012,2012-01-15,15,temperature_profile
-8.61,-8.58,-8.64,-8.64,-8.56,2012-01-15T00:21:00.0,2012,2012-01-15,15,temperature_profile
-8.61,-8.61,-8.66,-8.65,-8.58,2012-01-15T00:22:00.0,2012,2012-01-15,15,temperature_profile
-8.62,-8.59,-8.63,-8.61,-8.58,2012-01-15T00:23:00.0,2012,2012-01-15,15,temperature_profile
-8.6,-8.58,-8.61,-8.57,-8.55,2012-01-15T00:24:00.0,2012,2012-01-15,15,temperature_profile
-8.6,-8.57,-8.61,-8.6,-8.57,2012-01-15T00:25:00.0,2012,2012-01-15,15,temperature_profile
-8.61,-8.59,-8.63,-8.6,-8.59,2012-01-15T00:26:00.0,2012,2012-01-15,15,temperature_profile
-8.61,-8.59,-8.63,-8.61,-8.56,2012-01-15T00:27:00.0,2012,2012-01-15,15,temperature_profile
-8.57,-8.55,-8.59,-8.52,-8.5,2012-01-15T00:28:00.0,2012,2012-01-15,15,temperature_profile
-8.56,-8.54,-8.58,-8.52,-8.51,2012-01-15T00:29:00.0,2012,2012-01-15,15,temperature_profile
-8.57,-8.55,-8.59,-8.57,-8.5,2012-01-15T00:30:00.0,2012,2012-01-15,15,temperature_profile
-8.57,-8.56,-8.6,-8.57,-8.51,2012-01-15T00:31:00.0,2012,2012-01-15,15,temperature_profile
-8.58,-8.57,-8.61,-8.58,-8.54,2012-01-15T00:32:00.0,2012,2012-01-15,15,temperature_profile
-8.6,-8.57,-8.61,-8.57,-8.57,2012-01-15T00:33:00.0,2012,2012-01-15,15,temperature_profile
-8.61,-8.57,-8.61,-8.58,-8.58,2012-01-15T00:34:00.0,2012,2012-01-15,15,temperature_profile
-8.62,-8.58,-8.62,-8.61,-8.6,2012-01-15T00:35:00.0,2012,2012-01-15,15,temperature_profile
