VAR_EDDY.Qc_LE,VAR_EDDY.Qc_H,VAR_EDDY.H_storage_flux,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.LE_storage_flux,VAR_EDDY.H,datetime,season_year,season_date,target_doy,group_name
2,2,0.88908,0.18257,0.004,0.28585,4.28061,2024-01-15T00:00:00.0,2024,2024-01-15,15,heat_flux
2,0,-0.47201,-0.14516,-0.00318,-0.13867,10.75786,2024-01-15T00:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-3.64837,-0.3578,-0.00783,-0.79817,8.59627,2024-01-15T01:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-2.60424,0.38493,0.00842,-0.65896,19.59468,2024-01-15T01:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-3.35574,-0.01712,-0.00037,-1.21424,10.7426,2024-01-15T02:00:00.0,2024,2024-01-15,15,heat_flux
1,2,-1.86663,0.41734,0.00912,-0.46935,16.5971,2024-01-15T02:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-3.61856,1.06111,0.02319,-0.77043,18.25899,2024-01-15T03:00:00.0,2024,2024-01-15,15,heat_flux
2,0,-3.47421,0.6202,0.01355,-1.11435,13.47476,2024-01-15T03:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-2.93235,0.52252,0.01141,-0.69707,7.22022,2024-01-15T04:00:00.0,2024,2024-01-15,15,heat_flux
1,2,-2.23137,0.07576,0.00165,-0.68733,1.92874,2024-01-15T04:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-4.72606,0.14688,0.00321,-0.92541,-4.11842,2024-01-15T05:00:00.0,2024,2024-01-15,15,heat_flux
2,2,-2.21797,-0.05402,-0.00118,-0.68982,-1.00133,2024-01-15T05:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-0.66418,-0.01348,-0.00029,-0.31358,-8.02974,2024-01-15T06:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-2.6427,0.0709,0.00155,-0.11614,-9.37954,2024-01-15T06:30:00.0,2024,2024-01-15,15,heat_flux
0,0,-1.63067,-0.07596,-0.00166,-0.45341,-6.50732,2024-01-15T07:00:00.0,2024,2024-01-15,15,heat_flux
1,1,-4.99263,0.3423,0.00746,-1.00549,-1.7335,2024-01-15T07:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-4.3551,0.13156,0.00287,-0.86053,-3.63278,2024-01-15T08:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-1.12929,0.24493,0.00534,-0.4265,-6.10869,2024-01-15T08:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-4.66242,-0.06004,-0.00131,-0.71977,-6.22222,2024-01-15T09:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-4.92607,0.48388,0.01053,-0.93309,-4.41122,2024-01-15T09:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-3.78511,-0.31852,-0.00693,-0.51056,-7.6878,2024-01-15T10:00:00.0,2024,2024-01-15,15,heat_flux
2,0,-1.59969,-0.34343,-0.00747,-0.1817,-4.10311,2024-01-15T10:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-0.08501,0.1836,0.00399,-0.05802,-5.59275,2024-01-15T11:00:00.0,2024,2024-01-15,15,heat_flux
2,0,4.18874,0.43248,0.00941,0.51963,-22.18817,2024-01-15T11:30:00.0,2024,2024-01-15,15,heat_flux
2,0,5.51448,0.81165,0.01768,1.29558,-36.75566,2024-01-15T12:00:00.0,2024,2024-01-15,15,heat_flux
2,0,0.14974,-0.99238,-0.02161,-0.03082,-35.60514,2024-01-15T12:30:00.0,2024,2024-01-15,15,heat_flux
1,1,-8.55947,-3.74466,-0.08155,-0.71688,-42.26983,2024-01-15T13:00:00.0,2024,2024-01-15,15,heat_flux
0,2,3.10701,-0.26542,-0.00578,-0.63012,-23.19627,2024-01-15T13:30:00.0,2024,2024-01-15,15,heat_flux
0,0,-2.80179,0.18429,0.00401,-0.24561,-38.75694,2024-01-15T14:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-3.71889,-0.46454,-0.01011,-0.67196,-46.89091,2024-01-15T14:30:00.0,2024,2024-01-15,15,heat_flux
2,0,-0.22319,-0.19244,-0.00419,-0.22395,-26.06656,2024-01-15T15:00:00.0,2024,2024-01-15,15,heat_flux
1,0,8.86746,-3.19827,-0.06957,0.87292,-82.14888,2024-01-15T15:30:00.0,2024,2024-01-15,15,heat_flux
2,0,14.439,2.47836,0.05399,2.71808,-63.50477,2024-01-15T16:00:00.0,2024,2024-01-15,15,heat_flux
1,1,-3.83823,2.20482,0.04806,0.1751,-37.67906,2024-01-15T16:30:00.0,2024,2024-01-15,15,heat_flux
0,0,-3.63758,-0.325,-0.00708,-0.86106,-56.8108,2024-01-15T17:00:00.0,2024,2024-01-15,15,heat_flux
2,0,-1.90999,-0.82437,-0.01796,0.11687,-45.22077,2024-01-15T17:30:00.0,2024,2024-01-15,15,heat_flux
0,0,1.13077,0.16759,0.00365,-0.29413,-33.97296,2024-01-15T18:00:00.0,2024,2024-01-15,15,heat_flux
2,2,-7.06267,0.67937,0.01479,-0.7766,2.31757,2024-01-15T18:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-5.12509,0.1078,0.00235,-1.05166,-9.16222,2024-01-15T19:00:00.0,2024,2024-01-15,15,heat_flux
1,0,5.29435,0.72057,0.01568,0.09505,-20.27328,2024-01-15T19:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-1.89995,0.13597,0.00296,-0.04659,-22.41915,2024-01-15T20:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-7.33944,0.67492,0.01468,-0.70637,-13.53806,2024-01-15T20:30:00.0,2024,2024-01-15,15,heat_flux
1,2,-7.48864,1.22869,0.02671,-1.15109,-7.44421,2024-01-15T21:00:00.0,2024,2024-01-15,15,heat_flux
1,0,-2.71945,-0.1975,-0.00429,-0.50837,-18.40121,2024-01-15T21:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-2.20761,0.3656,0.00794,-0.22083,-29.35055,2024-01-15T22:00:00.0,2024,2024-01-15,15,heat_flux
2,0,1.91133,0.16339,0.00355,-0.08743,-24.78347,2024-01-15T22:30:00.0,2024,2024-01-15,15,heat_flux
1,0,-1.49519,0.20434,0.00444,0.02357,-24.78711,2024-01-15T23:00:00.0,2024,2024-01-15,15,heat_flux
2,0,4.37949,1.28854,0.02799,0.2231,-31.77239,2024-01-15T23:30:00.0,2024,2024-01-15,15,heat_flux
2,1,-3.72982,-1.06749,-0.02357,-1.39497,3.66402,2025-01-15T00:00:00.0,2025,2025-01-15,15,heat_flux
1,2,-4.09485,3.55215,0.0784,-2.18251,7.93209,2025-01-15T00:30:00.0,2025,2025-01-15,15,heat_flux
1,2,-2.36755,1.09461,0.02416,-1.19392,4.9369,2025-01-15T01:00:00.0,2025,2025-01-15,15,heat_flux
0,2,-0.83594,0.25589,0.00565,-0.84194,4.37659,2025-01-15T01:30:00.0,2025,2025-01-15,15,heat_flux
2,2,-0.52655,-0.16186,-0.00357,-0.72913,1.63578,2025-01-15T02:00:00.0,2025,2025-01-15,15,heat_flux
0,2,0.21979,0.34254,0.00756,0.02058,-2.4112,2025-01-15T02:30:00.0,2025,2025-01-15,15,heat_flux
2,0,-1.52422,-0.8163,-0.01801,-1.45678,-6.96692,2025-01-15T03:00:00.0,2025,2025-01-15,15,heat_flux
1,0,-3.10519,2.8045,0.06186,-1.69455,-16.85923,2025-01-15T03:30:00.0,2025,2025-01-15,15,heat_flux
1,0,-1.50561,1.01591,0.02241,-0.25577,-19.51447,2025-01-15T04:00:00.0,2025,2025-01-15,15,heat_flux
2,0,9.50449,-6.32126,-0.13947,3.54657,-40.39555,2025-01-15T04:30:00.0,2025,2025-01-15,15,heat_flux
1,0,6.22084,9.67993,0.21369,3.10401,-32.80681,2025-01-15T05:00:00.0,2025,2025-01-15,15,heat_flux
2,0,3.82039,-1.75233,-0.0387,2.47119,-48.68307,2025-01-15T05:30:00.0,2025,2025-01-15,15,heat_flux
0,0,-2.27609,3.52466,0.07784,-0.60525,-47.79752,2025-01-15T06:00:00.0,2025,2025-01-15,15,heat_flux
1,0,1.01491,-1.14281,-0.02524,0.25388,-38.24483,2025-01-15T06:30:00.0,2025,2025-01-15,15,heat_flux
0,0,0.85764,-1.49803,-0.03309,0.50853,-44.16539,2025-01-15T07:00:00.0,2025,2025-01-15,15,heat_flux
0,0,-5.12909,1.36616,0.03017,-1.36355,-28.27013,2025-01-15T07:30:00.0,2025,2025-01-15,15,heat_flux
1,0,-5.25804,8.73732,0.19286,-2.77353,-23.52277,2025-01-15T08:00:00.0,2025,2025-01-15,15,heat_flux
2,0,-3.96248,-3.52725,-0.07783,-1.13605,-26.82143,2025-01-15T08:30:00.0,2025,2025-01-15,15,heat_flux
1,1,1.70566,5.95519,0.13137,-0.61327,-10.18907,2025-01-15T09:00:00.0,2025,2025-01-15,15,heat_flux
2,0,1.92994,-4.95048,-0.10925,2.67211,-33.76383,2025-01-15T09:30:00.0,2025,2025-01-15,15,heat_flux
1,0,-3.33845,-1.30255,-0.02874,-2.55148,-35.76498,2025-01-15T10:00:00.0,2025,2025-01-15,15,heat_flux
1,1,3.58804,14.94967,0.32984,1.12559,-44.47271,2025-01-15T10:30:00.0,2025,2025-01-15,15,heat_flux
2,1,-3.94309,-6.63611,-0.1464,-1.23121,-32.37433,2025-01-15T11:00:00.0,2025,2025-01-15,15,heat_flux
1,1,2.79714,7.4683,0.16477,1.62588,-16.17205,2025-01-15T11:30:00.0,2025,2025-01-15,15,heat_flux
1,0,0.4425,7.74275,0.17084,0.27829,-35.91101,2025-01-15T12:00:00.0,2025,2025-01-15,15,heat_flux
2,0,4.82068,2.72446,0.06012,1.55346,-50.87139,2025-01-15T12:30:00.0,2025,2025-01-15,15,heat_flux
2,0,0.88564,-1.9686,-0.04345,0.56572,-47.10392,2025-01-15T13:00:00.0,2025,2025-01-15,15,heat_flux
0,0,-0.72771,0.9442,0.02084,0.50883,-26.13802,2025-01-15T13:30:00.0,2025,2025-01-15,15,heat_flux
0,0,1.42822,3.67371,0.08109,0.01171,-17.20289,2025-01-15T14:00:00.0,2025,2025-01-15,15,heat_flux
2,0,3.14673,-0.90081,-0.01989,2.03893,-20.71678,2025-01-15T14:30:00.0,2025,2025-01-15,15,heat_flux
2,0,4.97106,1.33663,0.02952,2.04907,-19.93785,2025-01-15T15:00:00.0,2025,2025-01-15,15,heat_flux
1,0,3.18476,4.356,0.09623,2.22456,-21.61598,2025-01-15T15:30:00.0,2025,2025-01-15,15,heat_flux
1,0,3.53801,6.47593,0.14312,2.36601,-41.94502,2025-01-15T16:00:00.0,2025,2025-01-15,15,heat_flux
1,0,4.18842,2.09361,0.04628,2.01085,-35.22905,2025-01-15T16:30:00.0,2025,2025-01-15,15,heat_flux
1,0,0.593,-0.87117,-0.01926,1.11621,-25.16412,2025-01-15T17:00:00.0,2025,2025-01-15,15,heat_flux
,,2.26213,,,1.07811,,2025-01-15T17:30:00.0,2025,2025-01-15,15,heat_flux
1,0,0.60985,-5.23743,-0.11583,0.49039,-19.9657,2025-01-15T18:00:00.0,2025,2025-01-15,15,heat_flux
2,0,2.65035,3.52069,0.07787,1.22049,-17.40685,2025-01-15T18:30:00.0,2025,2025-01-15,15,heat_flux
2,1,2.55756,-12.59701,-0.27868,1.84686,-31.26011,2025-01-15T19:00:00.0,2025,2025-01-15,15,heat_flux
2,1,2.66753,-8.04878,-0.1781,1.24769,-24.95799,2025-01-15T19:30:00.0,2025,2025-01-15,15,heat_flux
1,1,2.24733,6.42028,0.1421,1.62467,-4.07656,2025-01-15T20:00:00.0,2025,2025-01-15,15,heat_flux
2,0,3.2042,-0.4989,-0.01104,2.01613,-7.4104,2025-01-15T20:30:00.0,2025,2025-01-15,15,heat_flux
2,1,3.1833,-5.03954,-0.1116,2.41389,-14.57649,2025-01-15T21:00:00.0,2025,2025-01-15,15,heat_flux
1,2,2.46341,5.43612,0.12041,1.88661,-4.66102,2025-01-15T21:30:00.0,2025,2025-01-15,15,heat_flux
1,2,4.42218,-13.35556,-0.29591,2.88033,-5.85646,2025-01-15T22:00:00.0,2025,2025-01-15,15,heat_flux
1,0,2.86981,4.24448,0.09407,2.39278,5.27814,2025-01-15T22:30:00.0,2025,2025-01-15,15,heat_flux
2,2,5.48911,-15.83345,-0.35105,3.83725,-8.21818,2025-01-15T23:00:00.0,2025,2025-01-15,15,heat_flux
2,1,4.72739,-4.99421,-0.11077,2.88106,-9.84312,2025-01-15T23:30:00.0,2025,2025-01-15,15,heat_flux
