artifact,rows,note
varrio_dead_of_winter_retrytest_all_groups.csv,2880,Union of all seasonal groups on datetime + season keys
varrio_dead_of_winter_retrytest_fetch_status.csv,14,Per-group and per-year fetch diagnostics
varrio_dead_of_winter_retrytest_dct_temperature_input.csv,2880,DCT_SMEAR-ready temperature+stability input with source fallback
varrio_dead_of_winter_retrytest_dct_temperature_status.csv,2,Per-year candidate-source outcome for DCT input
varrio_dead_of_winter_retrytest_co2_tracers.csv,2880,Seasonal group export
varrio_dead_of_winter_retrytest_heat_flux.csv,96,Seasonal group export
varrio_dead_of_winter_retrytest_humidity_profile.csv,2880,Seasonal group export
varrio_dead_of_winter_retrytest_momentum_flux.csv,96,Seasonal group export
varrio_dead_of_winter_retrytest_other_tracers.csv,96,Seasonal group export
varrio_dead_of_winter_retrytest_temperature_profile.csv,2880,Seasonal group export
varrio_dead_of_winter_retrytest_wind_profile.csv,2880,Seasonal group export
