VAR_EDDY.Qc_tau,VAR_EDDY.MO_length,VAR_EDDY.u_star,VAR_EDDY.wind_dir,VAR_EDDY.U,VAR_EDDY.tau,datetime,season_year,season_date,target_doy,group_name
0,-219.5621,0.22406,81.125,2.74966,-0.06533,2024-01-15T00:00:00.0,2024,2024-01-15,15,momentum_flux
0,-335.5766,0.35056,77.812,2.6304,-0.15997,2024-01-15T00:30:00.0,2024,2024-01-15,15,momentum_flux
0,-159.8332,0.25393,83.249,2.79154,-0.08396,2024-01-15T01:00:00.0,2024,2024-01-15,15,momentum_flux
0,-297.9539,0.41169,79.292,2.98621,-0.22081,2024-01-15T01:30:00.0,2024,2024-01-15,15,momentum_flux
0,-260.0892,0.32191,90.013,3.15469,-0.13522,2024-01-15T02:00:00.0,2024,2024-01-15,15,momentum_flux
0,-281.5735,0.38225,91.072,3.383,-0.19074,2024-01-15T02:30:00.0,2024,2024-01-15,15,momentum_flux
0,-169.4732,0.33335,88.987,3.22293,-0.14513,2024-01-15T03:00:00.0,2024,2024-01-15,15,momentum_flux
0,-195.7653,0.31598,91.251,3.22517,-0.1305,2024-01-15T03:30:00.0,2024,2024-01-15,15,momentum_flux
0,-157.7945,0.23894,98.709,2.92079,-0.07466,2024-01-15T04:00:00.0,2024,2024-01-15,15,momentum_flux
0,-599.1839,0.23992,94.656,3.25167,-0.07533,2024-01-15T04:30:00.0,2024,2024-01-15,15,momentum_flux
0,36.49388,0.1214,98.733,2.83175,-0.0193,2024-01-15T05:00:00.0,2024,2024-01-15,15,momentum_flux
0,135.6573,0.11755,101.55,2.83151,-0.01811,2024-01-15T05:30:00.0,2024,2024-01-15,15,momentum_flux
0,48.05524,0.16629,107.22,2.98024,-0.03624,2024-01-15T06:00:00.0,2024,2024-01-15,15,momentum_flux
0,50.2834,0.17778,107.78,3.23664,-0.04138,2024-01-15T06:30:00.0,2024,2024-01-15,15,momentum_flux
0,67.31225,0.17349,99.333,2.9682,-0.03942,2024-01-15T07:00:00.0,2024,2024-01-15,15,momentum_flux
0,154.5794,0.14676,92.798,2.67552,-0.02823,2024-01-15T07:30:00.0,2024,2024-01-15,15,momentum_flux
0,17.55694,0.09118,98.122,2.74371,-0.01091,2024-01-15T08:00:00.0,2024,2024-01-15,15,momentum_flux
0,47.05384,0.1506,100.12,3.06284,-0.02977,2024-01-15T08:30:00.0,2024,2024-01-15,15,momentum_flux
0,122.5745,0.20864,109.48,3.32346,-0.05721,2024-01-15T09:00:00.0,2024,2024-01-15,15,momentum_flux
0,42.53647,0.13045,106.5,2.94654,-0.02238,2024-01-15T09:30:00.0,2024,2024-01-15,15,momentum_flux
0,46.18022,0.16173,93.309,3.13359,-0.03443,2024-01-15T10:00:00.0,2024,2024-01-15,15,momentum_flux
0,293.917,0.2433,95.16,3.37217,-0.078,2024-01-15T10:30:00.0,2024,2024-01-15,15,momentum_flux
0,177.704,0.22759,104.85,3.66543,-0.06831,2024-01-15T11:00:00.0,2024,2024-01-15,15,momentum_flux
0,34.78244,0.20917,101.71,4.16242,-0.05758,2024-01-15T11:30:00.0,2024,2024-01-15,15,momentum_flux
0,36.85937,0.25229,99.866,4.33024,-0.08334,2024-01-15T12:00:00.0,2024,2024-01-15,15,momentum_flux
0,18.62466,0.19899,107.02,3.77771,-0.05183,2024-01-15T12:30:00.0,2024,2024-01-15,15,momentum_flux
0,13.55266,0.18981,99.761,3.54104,-0.04717,2024-01-15T13:00:00.0,2024,2024-01-15,15,momentum_flux
0,44.8322,0.23116,92.458,3.5619,-0.07014,2024-01-15T13:30:00.0,2024,2024-01-15,15,momentum_flux
