VAR_EDDY.Qc_LE,VAR_EDDY.Qc_H,VAR_EDDY.H_storage_flux,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.LE_storage_flux,VAR_EDDY.H,datetime,season_year,season_date,target_doy,group_name
1,0,6.51954,-11.92462,-0.26399,4.52853,-16.16668,2024-12-31T00:00:00.0,2024,2024-12-31,366,heat_flux
2,1,-0.16859,0.64164,0.01421,1.79928,12.21746,2024-12-31T00:30:00.0,2024,2024-12-31,366,heat_flux
0,0,1.9819,-1.15582,-0.02559,-0.29289,3.95068,2024-12-31T01:00:00.0,2024,2024-12-31,366,heat_flux
1,1,3.70886,1.59619,0.03536,2.50212,1.71889,2024-12-31T01:30:00.0,2024,2024-12-31,366,heat_flux
2,2,2.20267,-3.16905,-0.07021,1.94432,7.4515,2024-12-31T02:00:00.0,2024,2024-12-31,366,heat_flux
1,2,0.02665,0.85007,0.01884,0.33919,10.84271,2024-12-31T02:30:00.0,2024,2024-12-31,366,heat_flux
0,2,-0.47641,0.62734,0.0139,-0.40763,14.59007,2024-12-31T03:00:00.0,2024,2024-12-31,366,heat_flux
2,2,0.39803,-0.36045,-0.00799,0.00069,17.51846,2024-12-31T03:30:00.0,2024,2024-12-31,366,heat_flux
1,2,-1.42229,2.32261,0.05146,-0.655,6.67931,2024-12-31T04:00:00.0,2024,2024-12-31,366,heat_flux
2,2,-5.42723,-8.2485,-0.18271,-3.90067,-5.60633,2024-12-31T04:30:00.0,2024,2024-12-31,366,heat_flux
0,2,0.72507,1.65535,0.03666,0.10241,2.36885,2024-12-31T05:00:00.0,2024,2024-12-31,366,heat_flux
1,2,1.06264,-1.16912,-0.02589,0.78346,0.79604,2024-12-31T05:30:00.0,2024,2024-12-31,366,heat_flux
1,0,1.7774,-1.78422,-0.03952,0.78323,7.42055,2024-12-31T06:00:00.0,2024,2024-12-31,366,heat_flux
1,2,0.69819,0.85933,0.01904,0.81539,12.40573,2024-12-31T06:30:00.0,2024,2024-12-31,366,heat_flux
0,2,0.53047,0.67116,0.01487,0.44321,8.42756,2024-12-31T07:00:00.0,2024,2024-12-31,366,heat_flux
1,0,-0.75813,1.20018,0.02659,-0.2691,6.18408,2024-12-31T07:30:00.0,2024,2024-12-31,366,heat_flux
0,0,-1.73074,0.2442,0.00541,-1.31024,3.84553,2024-12-31T08:00:00.0,2024,2024-12-31,366,heat_flux
2,2,-1.0109,-0.42793,-0.00948,-1.38239,2.70869,2024-12-31T08:30:00.0,2024,2024-12-31,366,heat_flux
1,2,-0.7467,0.42252,0.00936,-1.25638,-0.69624,2024-12-31T09:00:00.0,2024,2024-12-31,366,heat_flux
1,2,-3.96901,3.99304,0.08842,-2.69008,2.1042,2024-12-31T09:30:00.0,2024,2024-12-31,366,heat_flux
1,1,-0.04488,0.94006,0.02081,0.07938,1.72724,2024-12-31T10:00:00.0,2024,2024-12-31,366,heat_flux
2,2,1.74154,1.27313,0.02819,0.22622,1.08605,2024-12-31T10:30:00.0,2024,2024-12-31,366,heat_flux
1,2,-0.9403,0.96522,0.02137,-1.01615,-2.10164,2024-12-31T11:00:00.0,2024,2024-12-31,366,heat_flux
1,0,-0.35194,18.65045,0.41291,-2.18716,-10.4194,2024-12-31T11:30:00.0,2024,2024-12-31,366,heat_flux
0,0,-1.97119,1.61644,0.03578,-1.25232,-6.22508,2024-12-31T12:00:00.0,2024,2024-12-31,366,heat_flux
1,0,-2.94289,3.48589,0.07715,-0.74667,-13.01042,2024-12-31T12:30:00.0,2024,2024-12-31,366,heat_flux
0,0,-1.94966,1.94351,0.04301,-0.9688,-6.25276,2024-12-31T13:00:00.0,2024,2024-12-31,366,heat_flux
1,2,-0.60248,1.75614,0.03886,0.12354,-4.90665,2024-12-31T13:30:00.0,2024,2024-12-31,366,heat_flux
2,2,-0.11436,-2.05992,-0.04557,0.99967,7.09131,2024-12-31T14:00:00.0,2024,2024-12-31,366,heat_flux
1,2,0.49414,0.13686,0.00303,0.3211,3.02385,2024-12-31T14:30:00.0,2024,2024-12-31,366,heat_flux
1,2,-1.67633,0.23692,0.00524,-0.739,2.65359,2024-12-31T15:00:00.0,2024,2024-12-31,366,heat_flux
1,2,-1.34797,0.82961,0.01835,-1.13489,-0.37631,2024-12-31T15:30:00.0,2024,2024-12-31,366,heat_flux
0,2,-1.16948,-0.79119,-0.0175,-0.60599,2.8494,2024-12-31T16:00:00.0,2024,2024-12-31,366,heat_flux
0,2,-0.35594,0.42536,0.00941,-0.01856,3.21168,2024-12-31T16:30:00.0,2024,2024-12-31,366,heat_flux
1,2,-0.81143,-1.03189,-0.02282,-0.79643,5.14537,2024-12-31T17:00:00.0,2024,2024-12-31,366,heat_flux
