run_dir,collection,run_name,year,month,title,observable,time_range,input,n_profiles,n_stable,stable_fraction,mean_c2,mean_c3,mean_shape_ratio,median_ustar,c1_c3_corr,c1_c3_slope,c1_mean,c3_mean,c1_skew,c3_skew,rib_available,rib_window_count,rib_laminar_fraction
dct_smear_seasonal_dead_of_winter/varrio_dead_of_winter_dct_temperature_input,dct_smear_seasonal_dead_of_winter,varrio_dead_of_winter_dct_temperature_input,,,DCT-SMEAR Seasonal Results,,,,96.0,28.0,0.2916666666666667,0.046204075814219044,0.030578037523011758,0.6399855349939658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dct_smear_seasonal_dead_of_winter/varrio_dead_of_winter_humidity_profile,dct_smear_seasonal_dead_of_winter,varrio_dead_of_winter_humidity_profile,,,DCT-SMEAR Seasonal Results,,,,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dct_smear_seasonal_dead_of_winter/varrio_dead_of_winter_temperature_profile,dct_smear_seasonal_dead_of_winter,varrio_dead_of_winter_temperature_profile,,,DCT-SMEAR Seasonal Results,,,,96.0,0.0,0.0,0.046204075814219044,0.030578037523011758,0.6399855349939658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.0,0.0
dct_smear_seasonal_dead_of_winter/varrio_dead_of_winter_wind_profile,dct_smear_seasonal_dead_of_winter,varrio_dead_of_winter_wind_profile,,,DCT-SMEAR Seasonal Results,,,,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2020_01,hyy_station2_ri_curvature_tier1/dct,2020_01,2020,1,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,421.0,0.28293010752688175,-0.14656081052791003,0.0472133932219633,0.7247396914944968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2020_02,hyy_station2_ri_curvature_tier1/dct,2020_02,2020,2,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1392.0,344.0,0.2471264367816092,-0.07999949816614575,0.0346446476940024,1.279111375453294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2020_03,hyy_station2_ri_curvature_tier1/dct,2020_03,2020,3,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,380.0,0.2553763440860215,-0.13113256569656712,0.05878307357267949,0.48501139085248246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2020_11,hyy_station2_ri_curvature_tier1/dct,2020_11,2020,11,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1440.0,411.0,0.28541666666666665,-0.12040707040077248,0.001916588223743733,0.24189830729624326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2020_12,hyy_station2_ri_curvature_tier1/dct,2020_12,2020,12,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1340.0,387.0,0.28880597014925374,-0.18978887169129965,0.025816745198581424,0.1972284558574995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2021_01,hyy_station2_ri_curvature_tier1/dct,2021_01,2021,1,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,165.0,0.11088709677419355,-0.1399515291818587,0.018425220680808558,0.26732278123933745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
