collection,year,n_runs,total_profiles,total_stable,mean_stable_fraction,mean_c3,mean_shape_ratio,mean_c1_c3_corr,mean_rib_laminar_fraction
dct_smear_seasonal_dead_of_winter,,4,192.0,28.0,0.14583333333333334,0.030578037523011758,0.6399855349939658,NaN,0.0
hyy_station2_ri_curvature_tier1/dct,2020,5,7148.0,1943.0,0.2719311050420866,0.03367488958219407,0.5855978441908032,NaN,NaN
hyy_station2_ri_curvature_tier1/dct,2021,5,7197.0,1275.0,0.1774055939580133,0.004035588744803337,0.5084587769074924,NaN,NaN
hyy_station2_ri_curvature_tier1/dct,2022,5,7129.0,1118.0,0.15732403507702747,0.019317541229367022,0.5911631251173699,NaN,NaN
hyy_station2_ri_curvature_tier1/dct,2023,5,7024.0,848.0,0.12143113748430509,-0.018156406009942085,0.40966835787281897,NaN,NaN
hyy_station2_ri_curvature_tier1/dct,2024,3,3976.0,467.0,0.11606424966902712,0.009614054757392331,0.9959765903179963,NaN,NaN
root,,2,96.0,0.0,0.0,0.030578037523011758,0.6399855349939658,NaN,NaN
sheba,,4,192.0,104.0,0.5416666666666667,194.68606249920376,283.3766811142201,-0.06857695061888326,0.026330224904004388
tmp,,2,1536.0,452.0,0.46438172043010756,-0.9888784091722042,326.8722937220159,0.3252999154582884,0.026330224904004388
varrio/dct,2020,5,7194.0,516.0,0.07182140013468612,-0.015350512612399508,1.4012792054908723,NaN,NaN
varrio/dct,2021,5,7109.0,846.0,0.11831619433588185,-0.0071767809780001555,1.2541751034085498,NaN,NaN
varrio/dct,2022,5,7247.0,568.0,0.07806163121003294,-0.012058974062898414,0.867270193137547,NaN,NaN
varrio/dct,2023,5,7248.0,830.0,0.11403033794162827,-0.0008344932826974919,1.21565391746326,NaN,NaN
varrio/dct,2024,5,7246.0,597.0,0.08256348649298387,-0.0017525514213276156,2.4659420941280286,NaN,NaN
varrio/dct,2025,5,5932.0,286.0,0.04320243007180367,0.004093632582395314,1.0799388194542767,NaN,NaN
