datetime,T_lo,T_hi,ws_hi,ws_lo,z_lo,z_hi,rib,zeta,c3
1998-10-31T01:00:02.88,-25.95,-25.09,4.99,3.33,8.94,18.08,0.12470715563407751,7.772463948803275,-0.08204815697107577
1998-10-31T16:59:57.12,-16.49,-16.36,6.52,5.69,8.94,18.08,0.11126107887580837,0.19489160454555354,-68.87412423504091
1998-10-31T18:00:00.0,-17.9,-17.3,6.44,4.94,8.95,18.08,0.10734308024317926,1.1298541492924643,-0.7251259965834687
1998-10-31T19:00:02.88,-17.97,-17.51,5.97,4.39,8.95,18.08,0.0771453111803978,0.7943291983810071,6.5896275608482116
1998-10-31T22:00:02.88,-24.13,-22.46,5.09,2.51,8.95,18.08,0.09470326673467432,2.283720289050696,-0.011644610807283686
1998-11-01T21:00:00.0,-18.53,-17.67,4.46,3.11,5.15,18.08,0.26913609083150847,0.7670381093616593,6.5896275608482116
1998-11-01T22:00:02.88,-19.85,-19.55,4.66,3.83,5.15,18.08,0.30985628597932163,0.3314151658451407,-72.38878105033294
1998-11-02T12:00:00.0,-19.7,-19.05,5.85,5.07,3.2,18.08,0.7520934515120923,0.26585379570629114,38.12097380053348
1998-11-02T13:00:02.88,-20.78,-19.47,5.15,3.72,3.2,18.08,0.41055009394875425,1.2924641767070695,-1.95814756866974
1998-11-02T13:59:57.12,-20.62,-19.31,5.45,4.02,3.2,18.08,0.4102907540465421,0.7267681952950379,1.3939646969813617
1998-11-02T15:00:00.0,-20.57,-19.42,5.35,4.03,3.2,18.08,0.42865164235808406,0.4461577503867534,13.881382463104918
1998-11-03T19:59:57.12,-26.88,-26.06,3.47,1.97,3.2,15.0,0.19506806046797276,1.9133445964914835,-0.10507525678188852
1998-11-03T21:00:00.0,-26.79,-26.27,4.25,2.62,3.2,15.0,0.1122539292368419,0.5695498835885396,-7.720890805599197
1998-11-03T22:59:57.12,-27.02,-26.46,3.33,2.24,3.2,15.0,0.2670530409178773,2.1330352252815277,-0.011644610807283686
1998-11-04T01:00:02.88,-25.65,-24.91,4.26,2.29,2.1,15.0,0.11394200866696777,1.0283632931535678,-0.7251259965834687
1998-11-04T18:00:00.0,-19.81,-19.38,4.69,3.13,2.09,15.0,0.11418511704313371,0.27126033579144093,38.12097380053348
1998-11-04T19:59:57.12,-24.86,-24.09,6.19,3.76,2.09,15.0,0.07729711634574432,0.37027925221762753,23.780136233355066
1998-11-04T21:00:00.0,-22.7,-22.64,6.18,4.49,2.09,15.0,0.03300838025549431,0.06787878150506088,-1784.5051792039822
1998-11-04T22:00:02.88,-22.21,-22.2,7.1,5.37,2.09,15.0,0.023012794935701852,0.04908368968207828,-1204.0995673272212
1998-11-05T03:00:00.0,-25.58,-25.33,6.36,4.74,2.09,14.99,0.07325499743086508,0.11915278438893781,-160.60798504419972
1998-11-05T04:00:02.88,-26.78,-26.49,5.96,4.21,2.09,14.99,0.06977876675630292,0.16168307761478734,113.61612437146657
1998-11-05T04:59:57.12,-27.57,-27.01,5.55,3.57,2.09,14.99,0.09009121979514627,0.36934334310079947,23.780136233355066
1998-11-05T06:00:00.0,-27.48,-26.61,5.15,3.15,2.09,14.99,0.12804804521242924,0.6481584820414698,-5.906191957657875
1998-11-05T07:00:02.88,-25.91,-25.51,5.55,3.84,2.09,14.99,0.09204113277027107,0.0873526372359978,689.7873375586821
1998-11-05T07:59:57.12,-25.27,-24.39,5.65,3.54,2.09,14.99,0.11516351762764437,0.4378380590838704,13.881382463104918
1998-11-05T09:00:00.0,-25.27,-23.89,5.85,3.25,2.09,14.99,0.11341307309472427,0.6306537421504721,-5.906191957657875
1998-11-05T10:00:02.88,-23.71,-23.11,6.65,4.61,2.09,14.99,0.08842039465655965,0.23506906652986093,-76.11344891246056
1998-11-05T10:59:57.12,-24.21,-23.61,6.94,4.71,2.09,14.99,0.0741435109848009,0.1717256916304927,108.38829700596142
1998-11-05T12:00:00.0,-23.62,-23.11,7.04,4.93,2.09,14.99,0.07239785270793954,0.17406848683214882,108.38829700596142
1998-11-05T13:00:02.88,-22.84,-22.41,7.14,4.91,2.09,14.99,0.05650091829675796,0.13390352080701678,52.17176924481102
1998-11-05T13:59:57.12,-19.37,-19.45,8.24,6.59,2.09,14.99,0.008500875367796482,0.011842488416892658,-1133.08492989993
1998-11-05T15:00:00.0,-17.95,-18.05,9.33,7.53,2.09,14.99,0.004043043220848144,0.0050193012390612754,-1133.08492989993
1998-11-06T21:00:00.0,-15.39,-15.39,6.44,5.06,2.08,14.98,0.032580650925267705,0.11540077251369471,-160.60798504419972
1998-11-07T01:59:57.12,-14.35,-14.38,6.84,6.83,8.93,11.32,-5.898394500888393,0.04574665830835895,-1204.0995673272212
1998-11-07T10:59:57.12,-16.96,-16.96,6.82,6.66,8.92,11.32,0.0843976534930983,0.14585624189293955,-97.22852429963932
1998-11-07T12:00:00.0,-17.45,-17.44,6.42,6.35,8.92,11.32,0.6294944804738216,0.10119632369018469,31.863940420793785
1998-11-07T13:00:02.88,-17.64,-17.63,7.42,7.28,8.92,11.32,0.15751470162497494,0.06553075539708716,-1784.5051792039822
1998-11-07T22:00:02.88,-19.3,-19.24,3.2,3.08,8.92,11.31,0.5347574325398174,1.6595546140369777,-0.10507525678188852
1998-11-07T22:59:57.12,-19.65,-19.3,4.2,3.28,8.92,11.31,0.04076085626994377,1.6112366295671972,-0.5495952887136638
1998-11-08T18:00:00.0,-11.89,-11.88,5.95,4.82,2.07,14.97,0.0517320311745486,0.07526371058804905,-159.16794149775814
1998-11-08T19:00:02.88,-11.68,-11.75,5.85,4.91,2.06,14.97,0.030975869606568437,0.026047125453972392,1023.9415271068675
1998-11-09T22:00:02.88,-15.15,-15.21,10.2,8.55,2.06,14.96,0.011964097919670133,0.003468951992964658,-1133.08492989993
1998-11-10T10:00:02.88,-12.98,-13.06,12.12,9.74,2.05,14.95,0.003985477600350366,0.002287467015788477,-1133.08492989993
1998-11-10T16:59:57.12,-12.1,-12.16,10.54,9.07,2.05,14.95,0.014897395843631409,0.010788399504868967,-1133.08492989993
