datetime,corr_H_tau
2025-03-01T00:00:00.0,NaN
2025-03-01T00:30:00.0,NaN
2025-03-01T01:00:00.0,NaN
2025-03-01T01:30:00.0,-0.7959542557551162
2025-03-01T02:00:00.0,-0.7959542557551162
2025-03-01T02:30:00.0,-0.8230763953059865
2025-03-01T03:00:00.0,0.08058113910573883
2025-03-01T03:30:00.0,-0.04145095053079116
2025-03-01T04:00:00.0,-0.04145095053079116
2025-03-01T04:30:00.0,0.5326881409901404
2025-03-01T05:00:00.0,0.6504986439468032
2025-03-01T05:30:00.0,0.5854550052111158
2025-03-01T06:00:00.0,0.4733027733084674
2025-03-01T06:30:00.0,0.2663090914139627
2025-03-01T07:00:00.0,-0.8320934832887898
2025-03-01T07:30:00.0,-0.7966216142470363
2025-03-01T08:00:00.0,-0.7665867168760244
2025-03-01T08:30:00.0,-0.7875346649372977
2025-03-01T09:00:00.0,-0.5075676178374845
2025-03-01T09:30:00.0,-0.4485392124557373
2025-03-01T10:00:00.0,-0.28646613827022505
2025-03-01T10:30:00.0,-0.424018976924798
2025-03-01T11:00:00.0,-0.5802669695015052
2025-03-01T11:30:00.0,-0.8351141635339743
2025-03-01T12:00:00.0,-0.9579199402361387
2025-03-01T12:30:00.0,-0.9750328723262908
2025-03-01T13:00:00.0,-0.9798406349099826
2025-03-01T13:30:00.0,-0.9583347889612565
2025-03-01T14:00:00.0,0.45145283656095825
2025-03-01T14:30:00.0,0.8476455161094375
2025-03-01T15:00:00.0,0.16304330432820163
2025-03-01T15:30:00.0,-0.23567855360438414
2025-03-01T16:00:00.0,-0.23567855360438414
2025-03-01T16:30:00.0,-0.4879205229317281
2025-03-01T17:00:00.0,-0.39785231363135004
2025-03-01T17:30:00.0,-0.39785231363135004
2025-03-01T18:00:00.0,NaN
2025-03-01T18:30:00.0,NaN
2025-03-01T19:00:00.0,NaN
2025-03-01T19:30:00.0,NaN
2025-03-01T20:00:00.0,NaN
2025-03-01T20:30:00.0,NaN
2025-03-01T21:00:00.0,NaN
2025-03-01T21:30:00.0,NaN
2025-03-01T22:00:00.0,NaN
2025-03-01T22:30:00.0,NaN
2025-03-01T23:00:00.0,NaN
2025-03-01T23:30:00.0,NaN
2025-03-02T00:00:00.0,NaN
2025-03-02T00:30:00.0,NaN
2025-03-02T01:00:00.0,NaN
2025-03-02T01:30:00.0,NaN
2025-03-02T02:00:00.0,NaN
2025-03-02T02:30:00.0,NaN
2025-03-02T03:00:00.0,NaN
2025-03-02T03:30:00.0,NaN
2025-03-02T04:00:00.0,NaN
2025-03-02T04:30:00.0,NaN
2025-03-02T05:00:00.0,NaN
2025-03-02T05:30:00.0,NaN
2025-03-02T06:00:00.0,NaN
2025-03-02T06:30:00.0,NaN
2025-03-02T07:00:00.0,NaN
2025-03-02T07:30:00.0,NaN
2025-03-02T08:00:00.0,NaN
2025-03-02T08:30:00.0,NaN
2025-03-02T09:00:00.0,-0.8876636026803322
2025-03-02T09:30:00.0,-0.6729953617962243
2025-03-02T10:00:00.0,-0.6792096808140402
2025-03-02T10:30:00.0,-0.8087254783090053
2025-03-02T11:00:00.0,-0.8250442287927091
2025-03-02T11:30:00.0,-0.8577953412424394
2025-03-02T12:00:00.0,-0.8263550924816937
2025-03-02T12:30:00.0,-0.851798668539518
2025-03-02T13:00:00.0,-0.5928084210213083
2025-03-02T13:30:00.0,-0.28673899463115854
2025-03-02T14:00:00.0,-0.8882669025511906
2025-03-02T14:30:00.0,-0.8882669025511906
2025-03-02T15:00:00.0,-0.9494730587139397
2025-03-02T15:30:00.0,NaN
2025-03-02T16:00:00.0,NaN
2025-03-02T16:30:00.0,NaN
2025-03-02T17:00:00.0,NaN
2025-03-02T17:30:00.0,NaN
2025-03-02T18:00:00.0,NaN
2025-03-02T18:30:00.0,NaN
2025-03-02T19:00:00.0,NaN
2025-03-02T19:30:00.0,NaN
2025-03-02T20:00:00.0,NaN
2025-03-02T20:30:00.0,NaN
2025-03-02T21:00:00.0,NaN
2025-03-02T21:30:00.0,NaN
2025-03-02T22:00:00.0,NaN
2025-03-02T22:30:00.0,-0.765232775769445
2025-03-02T23:00:00.0,NaN
2025-03-02T23:30:00.0,NaN
2025-03-03T00:00:00.0,NaN
2025-03-03T00:30:00.0,NaN
2025-03-03T01:00:00.0,NaN
2025-03-03T01:30:00.0,NaN
2025-03-03T02:00:00.0,NaN
2025-03-03T02:30:00.0,NaN
2025-03-03T03:00:00.0,NaN
2025-03-03T03:30:00.0,NaN
2025-03-03T04:00:00.0,NaN
2025-03-03T04:30:00.0,NaN
2025-03-03T05:00:00.0,NaN
2025-03-03T05:30:00.0,NaN
2025-03-03T06:00:00.0,NaN
2025-03-03T06:30:00.0,NaN
2025-03-03T07:00:00.0,NaN
2025-03-03T07:30:00.0,NaN
2025-03-03T08:00:00.0,NaN
2025-03-03T08:30:00.0,NaN
2025-03-03T09:00:00.0,NaN
2025-03-03T09:30:00.0,NaN
2025-03-03T10:00:00.0,NaN
2025-03-03T10:30:00.0,NaN
2025-03-03T11:00:00.0,NaN
2025-03-03T11:30:00.0,NaN
2025-03-03T12:00:00.0,NaN
2025-03-03T12:30:00.0,NaN
2025-03-03T13:00:00.0,NaN
2025-03-03T13:30:00.0,NaN
2025-03-03T14:00:00.0,NaN
2025-03-03T14:30:00.0,NaN
2025-03-03T15:00:00.0,NaN
2025-03-03T15:30:00.0,NaN
2025-03-03T16:00:00.0,NaN
2025-03-03T16:30:00.0,NaN
2025-03-03T17:00:00.0,NaN
2025-03-03T17:30:00.0,NaN
2025-03-03T18:00:00.0,NaN
2025-03-03T18:30:00.0,NaN
2025-03-03T19:00:00.0,NaN
2025-03-03T19:30:00.0,NaN
2025-03-03T20:00:00.0,NaN
2025-03-03T20:30:00.0,NaN
2025-03-03T21:00:00.0,NaN
2025-03-03T21:30:00.0,NaN
2025-03-03T22:00:00.0,NaN
2025-03-03T22:30:00.0,NaN
2025-03-03T23:00:00.0,NaN
2025-03-03T23:30:00.0,NaN
2025-03-04T00:00:00.0,NaN
2025-03-04T00:30:00.0,NaN
2025-03-04T01:00:00.0,NaN
2025-03-04T01:30:00.0,NaN
2025-03-04T02:00:00.0,NaN
2025-03-04T02:30:00.0,NaN
2025-03-04T03:00:00.0,NaN
2025-03-04T03:30:00.0,NaN
2025-03-04T04:00:00.0,NaN
2025-03-04T04:30:00.0,NaN
2025-03-04T05:00:00.0,NaN
2025-03-04T05:30:00.0,NaN
2025-03-04T06:00:00.0,NaN
2025-03-04T06:30:00.0,NaN
2025-03-04T07:00:00.0,-0.9152010920675058
2025-03-04T07:30:00.0,-0.4858946578727798
2025-03-04T08:00:00.0,-0.47309894773999095
2025-03-04T08:30:00.0,-0.40936210940529966
2025-03-04T09:00:00.0,-0.5378217715472764
2025-03-04T09:30:00.0,-0.7262833553910049
2025-03-04T10:00:00.0,-0.9531177073243368
2025-03-04T10:30:00.0,-0.6941458308073993
